,nom,adress_bis,secteur,nb_employes,potentiel_embauche
0,"CONNEKT4
    - S",SAINT-DENIS,Programmation informatique,0 salarié,3.6
1,"ALIZES DEVELOPPEMENT
    - S",SAINTE-ANNE,Conseil en relations publiques et communication,0 salarié,3.4
2,"BCCL ACCESS TO SUCCESS
    -",LES-ABYMES,Conseil en systèmes et logiciels informatiques,0 salarié,3.9
3,"AGYRH CONSULTING
    - BA",BAIE-MAHAULT,Programmation informatique,0 salarié,3.1
4,ZEOP MOBILE,LE-PORT,Télécommunications sans fil,0 salarié,3.5
5,"SAS NOUTDOC SOLUTION
    -",SAINT-LEU,Edition de logiciels applicatifs,0 salarié,3.4
6,"HUMAPRO
    -",SAINT-PAUL,Programmation informatique,0 salarié,4.1
7,"PIL-MEDIA
    - L",LE-LAMENTIN,Programmation informatique,1 ou 2 salariés,3.1
8,NIXIA ENGINEERING SYSTEM,LE-PORT,Tierce maintenance de systèmes et d’applications informatiques,3 à 5 salariés,3.8
9,"SECTION MORIN DESMARAIS
    - B",BASSE-TERRE,Administration publique (tutelle) des activités économiques,100 à 199 salariés,3.0
10,"A.R.M.E.F.L.HOR.
    - SA",SAINT-PIERRE,"Activités spécialisées, scientifiques et techniques diverses",20 à 49 salariés,3.0
11,M'GIALA-TELECOM,LE-MARIN,Autres activités informatiques,0 salarié,2.8
12,"STRATEGIE INFORMATIQUE
    -",LES-ABYMES,Conseil en systèmes et logiciels informatiques,20 à 49 salariés,3.0
13,"ADRUN
    - S",SAINT-DENIS,Programmation informatique,10 à 19 salariés,3.1
14,"MADI'DEV CTRE DE FORMATIONS  NUMERIQUE,
    - FORT",FORT-DE-FRANCE,Formation continue d'adultes,6 à 9 salariés,2.8
15,"NOVATEC GUADELOUPE
    - BA",BAIE-MAHAULT,Autres activités informatiques,6 à 9 salariés,2.8
16,INSTITUT PASTEUR DE GUYANE,CAYENNE,Recherche-développement en autres sciences physiques et naturelles,50 à 99 salariés,2.7
17,"SOCIETE DE RECYCLAGE ET DE RECONDITIONNE
    - S",SAINT-DENIS,"Commerce de détail d'ordinateurs, d'unités périphériques et de logiciels en magasin spécialisé",6 à 9 salariés,2.7
18,"BEELIZ
    - BA",BAIE-MAHAULT,Programmation informatique,0 salarié,3.6
19,AVANT-GARDE OUTRE MER,CAYENNE,Tierce maintenance de systèmes et d’applications informatiques,0 salarié,3.1
